year,amt_affected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,117036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,5562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,43998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,14107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,115319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,243187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,191446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,37031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,23812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,145776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,18311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,74100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,8890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,11002544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
