year,value
1965,2.752199035
1966,2.854667071
1967,2.924442078
1968,3.089630374
1969,3.21712463
1970,3.316037351
1971,3.403123637
1972,3.638169862
1973,3.801889062
1974,3.604353027
1975,3.495517045
1976,3.718348147
1977,3.877978126
1978,3.942795224
1979,3.813412098
1980,3.455263712
1981,3.215013785
1982,3.011770082
1983,2.980372697
1984,3.028862409
1985,2.986760715
1986,3.077408266
1987,3.10989309
1988,3.207721803
1989,3.170358475
1990,3.086065326
1991,2.99278353
1992,3.028718303
1993,3.026599495
1994,3.073545876
1995,3.032887968
1996,3.105292419
1997,3.110374906
1998,3.129708662
1999,3.182570371
2000,3.177531759
2001,3.138106756
2002,3.110778848
2003,3.131791065
2004,3.22635885
2005,3.205218824
2006,3.150582247
2007,3.117270453
2008,2.900202094
2009,2.707949097
2010,2.738543683
