year,env_priority,energy_priority,equal,neither,dk,rf
2000,NA,NA,NA,NA,NA,NA
2001,52,36.1,5.53,1.91,4.45,NA
2002,51.89,39.41,3.35,2.29,2.74,0.32
2003,49.27,40.36,4.63,1.93,2.47,1.34
2004,48.16,43.88,3.68,1.29,2.49,0.5
2005,51.64,39.17,4.04,2,2.28,0.86
2006,49.18,42.16,3.88,2.09,1.73,0.95
2007,57.55,34.14,3.44,2.14,2.31,0.41
2008,49.97,40.54,4.22,1.93,2.69,0.65
2009,47.02,46.49,2.54,1.19,1.84,0.92
2010,43.25,49.74,2.47,1.97,1.88,0.69
2011,40.95,49.81,4,NA,1.11,4.14
2012,44.03,46.57,3.08,2.28,2.59,1.45
2013,45.24,46.13,2.71,2.54,1.97,1.41
2014,51.32,39.82,3.89,1.72,2.32,0.92
2015,48.76,39.44,4.26,2.23,3.44,1.86
