year,  Nitrogen, Phosphate,   Potash,   Total, Nitrogen, Phosphate,Potash
1960,2738.00,2572.40,2153.30,7463.70,36.68,34.47,28.85
1961,3030.80,2645.10,2168.50,7844.40,38.64,33.72,27.64
1962,3370.00,2807.00,2270.50,8447.50,39.89,33.23,26.88
1963,3929.10,3072.90,2503.40,9505.40,41.34,32.33,26.34
1964,4352.80,3377.80,2729.70,10460.30,41.61,32.29,26.10
1965,4638.50,3512.20,2834.50,10985.20,42.22,31.97,25.80
1966,5326.30,3897.10,3221.20,12444.60,42.80,31.32,25.88
1967,6027.10,4304.70,3641.80,13973.60,43.13,30.81,26.06
1968,6787.60,4453.30,3792.60,15033.50,45.15,29.62,25.23
1969,6957.60,4665.60,3891.60,15514.80,44.84,30.07,25.08
1970,7459.00,4573.80,4035.50,16068.30,46.42,28.46,25.11
1971,8133.60,4803.40,4231.40,17168.40,47.38,27.98,24.65
1972,8022.30,4863.70,4326.80,17212.80,46.61,28.26,25.14
1973,8295.10,5085.20,4648.70,18029.00,46.01,28.21,25.78
1974,9157.20,5098.60,5082.60,19338.40,47.35,26.37,26.28
1975,8600.80,4506.80,4453.20,17560.80,48.98,25.66,25.36
1976,10411.60,5227.60,5209.70,20848.90,49.94,25.07,24.99
1977,10647.40,5629.70,5833.80,22110.90,48.15,25.46,26.38
1978,9964.60,5096.10,5526.10,20586.80,48.40,24.75,26.84
1979,10714.70,5605.80,6244.50,22565.00,47.48,24.84,27.67
1980,11406.70,5431.50,6245.10,23083.30,49.42,23.53,27.05
1981,11923.80,5434.40,6319.50,23677.70,50.36,22.95,26.69
1982,10983.10,4813.90,5630.90,21427.90,51.26,22.47,26.28
1983,9127.00,4137.50,4831.00,18095.50,50.44,22.86,26.70
1984,11092.20,4901.10,5796.80,21790.10,50.90,22.49,26.60
1985,11492.60,4657.60,5552.50,21702.70,52.95,21.46,25.58
1986,10424.40,4177.90,5052.60,19654.90,53.04,21.26,25.71
1987,10209.50,4008.30,4836.50,19054.30,53.58,21.04,25.38
1988,10511.60,4128.50,4972.70,19612.80,53.60,21.05,25.35
1989,10592.60,4116.90,4838.00,19547.50,54.19,21.06,24.75
1990,11076.00,4344.70,5202.80,20623.50,53.71,21.07,25.23
1991,11286.90,4200.60,5001.20,20488.70,55.09,20.50,24.41
1992,11446.40,4217.90,5041.70,20706.00,55.28,20.37,24.35
1993,11392.50,4435.60,5140.70,20968.90,54.33,21.15,24.52
1994,12642.80,4521.10,5268.10,22432.00,56.36,20.15,23.48
1995,11718.50,4424.80,5128.40,21271.70,55.09,20.80,24.11
1996,12303.40,4527.30,5257.50,22088.20,55.70,20.50,23.80
1997,12352.10,4611.80,5424.50,22388.40,55.17,20.60,24.23
1998,12312.60,4615.20,5300.70,22228.50,55.39,20.76,23.85
1999,12451.90,4254.20,4953.50,21659.60,57.49,19.64,22.87
2000,12333.80,4313.80,4971.60,21619.20,57.05,19.95,23.00
2001,11534.70,4257.20,4926.10,20718.00,55.67,20.55,23.78
2002,12009.30,4630.00,4981.60,21620.90,55.54,21.41,23.04
2003,12092.10,4290.50,4950.40,21271.70,56.85,20.17,23.27
2004,13027.80,4824.50,5520.10,23372.40,55.74,20.64,23.62
2005,12336.50,4638.00,5173.40,22147.90,55.70,20.94,23.36
2006,12043.80,4478.60,4722.90,21245.30,56.69,21.08,22.23
2007,13194.40,4571.70,5133.30,22899.40,57.62,19.96,22.42
2008,12561.30,4246.90,4659.70,21467.90,58.51,19.78,21.71
2009,11461.40,3137.50,3089.80,17688.70,64.80,17.74,17.47
2010,12285.30,4099.30,4458.10,20842.70,58.94,19.67,21.39
2011,12840.40,4320.70,4591.40,21752.50,59.03,19.86,21.11
