response,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Other,118,22,29,29,63,22,36,47,51,51,29,NA,NA,39,NA,NA
Don't know,106,155,110,156,99,94,116,118,107,107,92,NA,NA,106,NA,NA
Refused,2,4,3,12,2,3,2,2,4,4,4,NA,NA,17,NA,NA
None,19,9,15,4,13,15,15,14,17,17,31,NA,NA,30,NA,NA
Economy (General),33,52,121,141,123,88,82,47,119,119,115,NA,NA,120,NA,NA
Unemployment/Jobs,22,30,49,41,71,45,33,18,29,29,65,NA,NA,58,NA,NA
Federal Budget Deficit/Federal Debt,15,35,20,22,51,49,45,38,20,20,146,NA,NA,138,NA,NA
Taxes,11,8,10,4,6,10,7,1,3,3,5,NA,NA,11,NA,NA
Foreign Trade/Trade deficit,5,2,7,3,7,5,3,6,5,5,3,NA,NA,2,NA,NA
Cost of Living/Inflation,20,11,8,11,5,16,17,18,11,11,7,NA,NA,6,NA,NA
Recession,0,9,0,0,0,0,2,0,5,5,4,NA,NA,6,NA,NA
Crime/Violence,65,64,16,13,7,17,7,2,7,7,6,NA,NA,10,NA,NA
Poor Health Care/Hospitals,33,29,42,61,49,48,66,73,49,49,77,NA,NA,41,NA,NA
Drugs,32,20,10,8,9,8,10,7,5,5,4,NA,NA,4,NA,NA
Poverty/Hunger/Homelessness,35,40,46,47,26,31,31,23,19,19,25,NA,NA,19,NA,NA
Ethical/Moral/Religious Decline,46,57,41,40,36,20,36,36,43,43,22,NA,NA,18,NA,NA
AIDS,1,1,2,1,1,1,0,0,1,1,0,NA,NA,0,NA,NA
Medicare/care for the elderly,4,5,2,11,7,9,15,4,2,2,12,NA,NA,20,NA,NA
International Problems,21,42,27,46,23,24,34,35,22,22,17,NA,NA,20,NA,NA
Government/Congress/Politicians,23,29,21,27,16,18,10,15,16,16,33,NA,NA,48,NA,NA
Foreign Aid/Focus Overseas,0,0,6,4,11,11,11,4,14,14,11,NA,NA,21,NA,NA
Race Relations/Racism,31,13,10,5,5,3,5,9,8,8,7,NA,NA,7,NA,NA
Immigration/Illegal Aliens,2,7,12,18,23,17,25,42,46,46,19,NA,NA,32,NA,NA
Welfare,4,2,3,1,2,6,5,1,2,2,5,NA,NA,17,NA,NA
Environment/Pollution,142,119,103,87,91,64,83,141,145,145,112,NA,NA,90,NA,NA
School Shootings,3,2,1,0,0,0,0,3,0,0,0,NA,NA,0,NA,NA
Abortion Issues,1,0,0,1,0,1,0,1,2,2,0,NA,NA,0,NA,NA
Social Security Issues,42,88,57,51,102,232,98,78,47,47,39,NA,NA,46,NA,NA
Children's behavior/Actions/Way our children are raised Behavior/Actions/way our children are raised,34,31,17,2,1,6,3,7,5,5,7,NA,NA,11,NA,NA
