year,very_well,fairly,not_very,not_at_all,dk,rf,
2000,NA,NA,NA,NA,NA,NA,
2001,14.78,54.38,24.51,5.71,0.62,NA,
2002,17.1,51.82,24.68,5.88,0.41,0.1,
2003,15.12,53.2,26.48,5.2,0,0,
2004,18.71,52.74,23.78,4.58,0.1,0.1,
2005,16.26,54.01,23.74,5.5,0.3,0.2,*both
2006,20.66,53.34,20.24,5.71,0.05,0,*both
2007,22.15,54.4,18.9,4.25,0.3,0,
2008,20.59,58.69,18.26,2.33,0.08,0.06,
2009,NA,NA,NA,NA,NA,NA,
2010,26.32,55.75,15.09,2.78,0.06,0,"*phrased ""global warming"""
2011,24.98,55.31,14.86,4.02,0.15,0.67,"*phrased ""global warming"""
2012,28.53,55.49,11.92,3.77,0.2,0.09,"*phrased ""global warming"""
2013,26.66,51.86,17.96,3.26,0.22,0.04,"*phrased ""global warming"""
2014,33.23,50.54,14.41,1.82,0,0,"*phrased ""global warming"""
2015,25.01,52.18,18.87,3.67,0.18,0.09,"*phrased ""global warming"""
