year,great_deal,fair_amt,little,not_at_all,dk,rf
2000,29.48,46.64,21.3,1.96,0.28,0.33
2001,34.66,41.81,18.68,4.1,0.61,0.13
2002,36.59,36.18,21.03,6.15,0.05,0
2003,NA,NA,NA,NA,NA,NA
2004,40.9,29.35,23.38,6.17,0.2,0
2005,37.63,31.05,24.54,5.92,0.42,0.44
2006,43.04,37.31,14.36,5.24,0.06,0
2007,38.87,36.66,19.35,5.13,0,0
2008,60.39,30.03,7,2.58,0,0
2009,NA,NA,NA,NA,NA,NA
2010,70,20.63,7.08,1.95,0.21,0.12
2011,70.74,21.69,4.94,2.12,0.15,0.37
2012,70.87,21.54,5.44,2,0.03,0.12
2013,68.2,22.42,7.09,2.17,0.13,0
2014,59.09,29.46,8.44,2.64,0.37,0
2015,53.02,30.13,12.73,4,0.13,0
